Library,month,issues
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-05,355
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-06,354
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-07,523
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-08,513
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-09,563
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-10,447
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2016-11,479
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-04,4292
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-05,4276
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-06,3925
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-07,4544
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-08,5068
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-09,4366
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-10,4553
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-11,3729
http://datadock.io/kal/data/id/resource/library/Denton Burn,2008-12,2865
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-01,4018
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-02,3687
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-03,4121
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-04,4516
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-05,4166
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-06,4169
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-07,6117
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-08,5256
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-09,4463
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-10,4670
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-11,5240
http://datadock.io/kal/data/id/resource/library/Denton Burn,2009-12,3371
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-01,4782
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-02,3980
