Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-08,659
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-09,659
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-10,659
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-11,672
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2008-12,672
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-01,672
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-02,503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-03,503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-04,503
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-05,533
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-06,533
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-07,533
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-08,650
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-09,650
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-10,650
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-11,576
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2009-12,576
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-01,576
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-02,780
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-03,780
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-04,287
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-05,292
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-06,505
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-07,579
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-08,568
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-09,590
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-10,396
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-11,1430
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2010-12,882
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-01,1024
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-02,1448
